 article_id |                                         title                                         |     created_at      | votes | comment_count 
------------+---------------------------------------------------------------------------------------+---------------------+-------+---------------
          1 | Running a Node App                                                                    | 2020-11-07 06:03:00 |     0 |             8
          2 | The Rise Of Thinking Machines: How IBM's Watson Takes On The World                    | 2020-05-14 01:02:00 |     0 |             6
          3 | 22 Amazing open source React projects                                                 | 2020-02-29 11:12:00 |     0 |            10
          4 | Making sense of Redux                                                                 | 2020-09-11 21:12:00 |     0 |             9
          5 | Please stop worrying about Angular 3                                                  | 2020-04-21 17:06:00 |     0 |             6
          6 | JavaScript’s Apply, Call, and Bind Methods are Essential for JavaScript Professionals | 2020-11-11 15:09:00 |     0 |            11
          7 | Using React Native: One Year Later                                                    | 2020-10-18 01:26:00 |     0 |             8
          8 | Express.js: A Server-Side JavaScript Framework                                        | 2020-10-05 23:23:00 |     0 |             7
          9 | Learn HTML5, CSS3, and Responsive WebSite Design in One Go                            | 2020-05-26 15:06:00 |     0 |             8
         10 | An Introduction to JavaScript Object Notation (JSON) in JavaScript and .NET           | 2020-07-02 12:23:00 |     0 |             8
         11 | Designing Better JavaScript APIs                                                      | 2020-07-07 00:13:00 |     0 |             5
         12 | The battle for Node.js security has only begun                                        | 2020-11-15 13:25:00 |     0 |             7
         13 | What does Jose Mourinho's handwriting say about his personality?                      | 2020-07-08 20:25:00 |     0 |             6
         14 | Who Will Manage Your Club in 2021?                                                    | 2020-06-24 15:14:00 |     0 |             3
         15 | Why do England managers keep making the same mistakes?                                | 2020-03-19 00:14:00 |     0 |             4
         16 | History of FC Barcelona                                                               | 2020-08-03 00:14:00 |     0 |            16
         17 | Which current Premier League manager was the best player?                             | 2020-03-19 11:15:00 |     0 |            12
         18 | The People Tracking Every Touch, Pass And Tackle in the World Cup                     | 2020-08-17 15:03:00 |     0 |             8
         19 | Who are the most followed clubs and players on Instagram?                             | 2020-09-13 13:02:00 |     0 |            13
         20 | History of Football                                                                   | 2020-03-10 21:05:00 |     0 |             5
         21 | Agility Training Drills For Football Players                                          | 2020-10-26 10:05:00 |     0 |             8
         22 | Defensive Metrics: Measuring the Intensity of a High Press                            | 2020-04-17 13:10:00 |     0 |             8
         23 | Sunday league football                                                                | 2020-03-22 14:25:00 |     0 |            14
         24 | Game of talents: management lessons from top football coaches                         | 2020-07-09 23:14:00 |     0 |             5
         25 | Sweet potato & butternut squash soup with lemon & garlic toast                        | 2020-03-11 21:16:00 |     0 |             4
         26 | HOW COOKING HAS CHANGED US                                                            | 2020-04-06 01:00:00 |     0 |            11
         27 | Thanksgiving Drinks for Everyone                                                      | 2020-01-24 23:22:00 |     0 |            13
         28 | High Altitude Cooking                                                                 | 2020-01-04 00:24:00 |     0 |             5
         29 | A BRIEF HISTORY OF FOOD—NO BIG DEAL                                                   | 2020-01-06 20:12:00 |     0 |            10
         30 | Twice-Baked Butternut Squash Is the Thanksgiving Side Dish of Your Dreams             | 2020-01-11 20:20:00 |     0 |             8
         31 | What to Cook This Week                                                                | 2020-06-09 03:19:00 |     0 |            12
         32 | Halal food: Keeping pure and true                                                     | 2020-06-18 21:08:00 |     0 |             5
         33 | Seafood substitutions are increasing                                                  | 2020-09-16 17:26:00 |     0 |             6
         34 | The Notorious MSG’s Unlikely Formula For Success                                      | 2020-11-22 11:13:00 |     0 |            11
         35 | Stone Soup                                                                            | 2020-05-26 07:25:00 |     0 |            14
         36 | The vegan carnivore?                                                                  | 2020-03-09 21:21:00 |     0 |             6
         37 | TenHag the man!                                                                       | 2020-03-22 14:25:00 |     0 |             0
(37 rows)

